gene_id,log2FoldChange,padj,product,keyword_found,regulation
BHE81_RS19475,-1.3530248556289617,0.0005982476066424,PTS N-acetyl glucosamine transporter subunit IIABC,transporter,DOWN
BHE81_RS19675,-2.6544460681824646,6.990808448430971e-11,cytochrome ubiquinol oxidase subunit I,oxidase,DOWN
BHE81_RS19680,-2.699160364068447,7.593741634129216e-16,cytochrome d ubiquinol oxidase subunit II,oxidase,DOWN
BHE81_RS19685,-2.534807990203129,0.0230120091212827,cytochrome bd-I oxidase subunit CydX,oxidase,DOWN
BHE81_RS19810,1.6202019550363111,0.0053349135484982,molybdate ABC transporter substrate-binding protein,transporter,UP
BHE81_RS19815,1.980369257426924,4.167998291601232e-05,molybdate ABC transporter permease subunit,transporter,UP
BHE81_RS20175,2.0222276604649285,0.0433696772208486,glutamine ABC transporter permease GlnP,transporter,UP
BHE81_RS20180,1.245784563441836,0.0020689908509939,glutamine ABC transporter substrate-binding protein GlnH,transporter,UP
BHE81_RS20530,-1.911020954284854,0.0270244543303509,hydroxylamine reductase,reductase,DOWN
BHE81_RS20625,-4.591089284931807,5.272371057224418e-14,dimethylsulfoxide reductase subunit A,reductase,DOWN
BHE81_RS20630,-3.137121222722393,0.0021873081826167,DMSO/selenate family reductase complex B subunit,reductase,DOWN
BHE81_RS20635,-2.944093814900953,0.0021850387193798,dimethyl sulfoxide reductase anchor subunit family protein,reductase,DOWN
BHE81_RS20825,3.727535038556078,5.484184869245389e-15,aliphatic sulfonates ABC transporter ATP-binding protein,transporter,UP
BHE81_RS20830,3.660649642469632,1.4461126182193055e-09,aliphatic sulfonate ABC transporter permease SsuC,transporter,UP
BHE81_RS20840,5.190979066927426,0.025891468242748,sulfonate ABC transporter substrate-binding protein,transporter,UP
BHE81_RS20845,4.141663867647974,1.61960264252983e-06,NADPH-dependent FMN reductase,reductase,UP
BHE81_RS21105,-1.624135385867716,0.0001335641196732,NAD(P)H:quinone oxidoreductase,reductase,DOWN
BHE81_RS21110,4.403228133080969,3.0717089271368503e-10,general stress protein,stress,UP
BHE81_RS21315,-1.2144252921043748,0.0132049118824117,N-methyl-L-tryptophan oxidase,oxidase,DOWN
BHE81_RS21540,-1.3279804403344844,0.0346698837271665,lipoprotein-releasing ABC transporter permease subunit LolE,transporter,DOWN
BHE81_RS22015,2.099664083180166,0.0205928576827098,general stress protein,stress,UP
BHE81_RS22095,2.7390693371080395,0.0280521287278921,leucine efflux protein LeuE,efflux,UP
BHE81_RS22560,3.0833766156433238,0.0109251455327333,D-serine transporter DsdX,transporter,UP
BHE81_RS22600,-2.314814881166261,0.0003196620999237,putative transporter,transporter,DOWN
BHE81_RS22795,2.921435474785263,5.4996659539542824e-11,phosphate ABC transporter substrate-binding protein PstS,transporter,UP
BHE81_RS22930,-1.5368904329856117,0.0230570949238409,multidrug transporter subunit MdtD,transporter,DOWN
BHE81_RS23130,-2.8908746576301843,0.0009870166779698,MFS transporter,transporter,DOWN
BHE81_RS23155,-1.5529995076957968,0.0284593396079559,sugar ABC transporter ATP-binding protein,transporter,DOWN
BHE81_RS23200,1.7847395646362438,0.0001406436716524,superoxide dismutase [Mn],superoxide,UP
BHE81_RS23210,1.1106896253199638,0.0373422316015938,envelope stress sensor histidine kinase CpxA,stress,UP
BHE81_RS23215,1.3215383886252687,0.0004109424557693,envelope stress response regulator transcription factor CpxR,stress,UP
BHE81_RS23220,2.053832928188572,7.878592570759196e-05,cell-envelope stress modulator CpxP,stress,UP
BHE81_RS23310,-1.6189739521431563,0.0479709151726272,methylenetetrahydrofolate reductase,reductase,DOWN
BHE81_RS23910,-5.172781679180046,3.517459427738512e-13,anaerobic C4-dicarboxylate transporter DcuB,transporter,DOWN
BHE81_RS23915,-2.107962557291638,1.2988541490965308e-06,PTS lactose/cellobiose transporter subunit IIA,transporter,DOWN
BHE81_RS23920,-1.8269114229687264,0.0006098571265617,PTS sugar transporter subunit IIB,transporter,DOWN
BHE81_RS24690,-1.693261446900736,0.0069134005944892,anaerobic C4-dicarboxylate transporter,transporter,DOWN
BHE81_RS24805,-4.000863643584473,2.1315482658059292e-08,fumarate reductase subunit FrdD,reductase,DOWN
BHE81_RS24810,-4.330618217137657,2.0633637602110004e-08,fumarate reductase subunit FrdC,reductase,DOWN
BHE81_RS24815,-4.149052074632291,7.457033058162134e-13,fumarate reductase iron-sulfur protein,reductase,DOWN
BHE81_RS24820,-4.4125311757232994,1.3283617915524483e-25,fumarate reductase (quinol) flavoprotein subunit,reductase,DOWN
BHE81_RS24830,-2.6118971958828454,0.014075638087322,glutamate/gamma-aminobutyrate family transporter YjeM,transporter,DOWN
BHE81_RS24865,-1.2864777690647664,0.0015652408632727,tRNA epoxyqueuosine(34) reductase QueG,reductase,DOWN
BHE81_RS25045,1.97953967260702,0.0015407892847879,D-serine/D-alanine/glycine transporter,transporter,UP
BHE81_RS25265,-4.806842548351968,1.1079612374729257e-07,anaerobic ribonucleoside-triphosphate reductase-activating protein,reductase,DOWN
BHE81_RS25270,-4.832748366012162,1.4119498346037716e-35,anaerobic ribonucleoside-triphosphate reductase,reductase,DOWN
