gene_id,product,log2FoldChange,padj,functional_category
BHE81_RS08850,NarK family nitrate/nitrite MFS transporter,-7.632160432194348,4.248413523941628e-38,Transport
BHE81_RS08855,nitrate/nitrite two-component system sensor histidine kinase NarX,-2.2949605334433727,6.766910816276514e-06,Metabolism
BHE81_RS08860,two-component system response regulator NarL,-2.4900214438817527,6.553489558046405e-09,Transcription
BHE81_RS08910,gamma-glutamylcyclotransferase,1.000064280250419,0.0406943089312471,Metabolism
BHE81_RS08920,sodium-potassium/proton antiporter ChaA,1.9134399178117127,4.483762079002622e-05,Unknown
BHE81_RS08980,stress-induced protein YchH,-3.420796846888265,1.1348361109636525e-13,Stress_Response
BHE81_RS09000,sugar ABC transporter substrate-binding protein,2.1647879433899075,0.0003170571900777,Transport
BHE81_RS09090,gamma-glutamylcyclotransferase family protein,2.8145516375775013,0.0332405610091749,Metabolism
BHE81_RS09170,formate C-acetyltransferase,-2.477058281808977,0.0010189059942334,Metabolism
BHE81_RS09210,fatty acid desaturase,5.893329733194439,0.0194947266248253,Unknown
BHE81_RS09245,TonB-dependent siderophore receptor,2.31871801229003,4.641534390554596e-06,Unknown
BHE81_RS09265,catabolic alanine racemase DadX,1.6113888063303496,0.000439733620225,Unknown
BHE81_RS09270,D-amino acid dehydrogenase,2.0906518747728566,4.4088284607931705e-06,Metabolism
BHE81_RS09470,protease HtpX,2.300525002611205,1.2945044720393692e-10,Unknown
BHE81_RS09485,GAF domain-containing protein,1.2895718466724044,0.0364255044259045,Unknown
BHE81_RS09560,oligopeptidase B,1.2222299771305336,0.0298403291661759,Unknown
BHE81_RS09565,tellurite resistance TerB family protein,1.531131016315443,1.3728568981072588e-05,Unknown
BHE81_RS09570,YebG family protein,-1.2676480034138415,0.0201926844168794,Unknown
BHE81_RS09645,Holliday junction branch migration protein RuvA,1.2838209336127568,0.0046301130713024,Unknown
BHE81_RS09730,trehalose-phosphatase,2.4146331084121604,9.121859434041477e-08,Unknown
BHE81_RS09735,L-arabinose ABC transporter permease AraH,2.4148331323207364,0.015993303266816,Transport
BHE81_RS09790,non-heme ferritin,-2.332227400140835,0.0138982513485352,Unknown
BHE81_RS10105,excinuclease ABC subunit UvrC,-1.036251594754194,0.0343706502279756,DNA_Repair
BHE81_RS10210,porin OmpC,-2.0002964088134805,0.0046262428574765,Membrane
BHE81_RS10245,HTH-type transcriptional regulator Cbl,1.340370304731486,0.0137720411273329,Transcription
BHE81_RS10425,serine-type D-Ala-D-Ala carboxypeptidase DacD,1.9335896241871984,0.0139324851334926,Unknown
BHE81_RS10685,uridine kinase,1.6434195445619109,0.0409768561435224,Metabolism
BHE81_RS10835,adenine deaminase,-2.886132158521606,0.0001670099163628,Unknown
BHE81_RS10850,RcnB family protein,3.697690462051664,0.0039195774722064,Unknown
BHE81_RS10905,ABC transporter substrate-binding protein,1.3715104186991174,0.0025409510201455,Transport
BHE81_RS10985,cytidine deaminase,1.8852461115094128,0.0282601053454399,Unknown
BHE81_RS11030,catecholate siderophore receptor CirA,2.482984386022565,2.8529039841953627e-05,Unknown
BHE81_RS11050,deoxyribonuclease IV,1.91628725153094,0.0075984688094469,DNA_Repair
BHE81_RS11130,microcin C ABC transporter ATP-binding protein YejF,-1.4597004940249692,0.0014814703741409,Transport
BHE81_RS11135,YejG family protein,-1.1561423976669811,0.0448992544370024,Unknown
BHE81_RS11215,malate dehydrogenase (quinone),1.2792560602704357,0.0011864510497744,Metabolism
BHE81_RS11250,porin OmpC,-1.598781136485449,0.009882209149738,Membrane
BHE81_RS11325,glycerophosphodiester phosphodiesterase,-2.455642996708904,3.003708064193918e-06,Unknown
BHE81_RS11330,glycerol-3-phosphate transporter,-4.007874187918826,2.0765598729582345e-17,Transport
BHE81_RS11335,anaerobic glycerol-3-phosphate dehydrogenase subunit A,-7.000238295214063,1.4991315963362518e-22,Metabolism
BHE81_RS11340,glycerol-3-phosphate dehydrogenase subunit GlpB,-6.488597837600832,2.8995616744683734e-22,Metabolism
