Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description
BHE81_RS15135,53.072286868815205,1.0561823002009052,0.348735302689703,3.028607347907857,0.0024568377419659,0.0187159194845815,,,,,,,
BHE81_RS15150,43.67582266148033,1.2149424457855305,0.4234967781678675,2.8688351562947334,0.0041198645376469,0.0282601053454399,,,,,,,
BHE81_RS15190,175.26171235739048,3.2640466852002303,0.4860535505098269,6.715405497555848,1.8754394172996792e-11,9.607814023475403e-10,,,,,,,
BHE81_RS15195,206.94019108378188,3.67357707377466,0.5674776768358764,6.473518208253885,9.574686971246431e-11,4.538831947380753e-09,,,,,,,
BHE81_RS15200,73.22469311309246,2.429230828239618,0.4856316215589206,5.002208918030443,5.667712036993964e-07,1.3284487268931964e-05,,,,,,,
BHE81_RS15265,26.36819140007796,2.407486603310722,0.5525546537615035,4.357010816797597,1.3185075429840955e-05,0.0002216248336195,,,,,,,
BHE81_RS15270,68.90062713207986,1.992496795659858,0.4504582716189378,4.423266085222201,9.721988283349966e-06,0.0001681027400305,,,,,,,
BHE81_RS15285,40.7482818232341,-1.4285344647197689,0.4036761366477657,-3.5388132590217003,0.0004019300750896,0.0041973836307008,,,,,,,
BHE81_RS15345,20.860075038456984,-1.423911165999751,0.4822014200798866,-2.9529385578413496,0.0031476460662368,0.0227785913438309,,,,,,,
BHE81_RS15410,268.4803273693503,-1.9462384727646476,0.4015036740473425,-4.847374005686335,1.2510643653514695e-06,2.7348396670558813e-05,,,,,,,
BHE81_RS15420,6.5393676309123405,-5.099864143272377,1.3313544154601833,-3.8305834149425992,0.0001278397851086,0.0016196878479687,,,,,,,
BHE81_RS15440,43.67102064602634,3.1255894982834413,0.7622156274871041,4.100663100529677,4.119679570279525e-05,0.0006098571265617,,,,,,,
BHE81_RS15460,41.16801486839566,-1.5764163322703608,0.4436925132201261,-3.5529477854593963,0.0003809400692426,0.0040079455165453,,,,,,,
BHE81_RS15515,60.77064537453512,2.5722875199768067,0.6283881528826497,4.093469153065297,4.249666352651582e-05,0.0006247157610396,,,,,,,
BHE81_RS15570,19.237769823148504,-3.753269327480985,0.6720099560976983,-5.585139466200595,2.3351274306167728e-08,7.757403645489893e-07,,,,,,,
BHE81_RS15575,34.13189711760982,-4.486555249702598,0.6128836893065516,-7.320402431950701,2.472284109045862e-13,1.9680314445404697e-11,,,,,,,
BHE81_RS15580,18.866280122465955,-1.8123477416124687,0.6150084229148899,-2.9468665372462333,0.0032101172049869,0.0230331368840812,,,,,,,
BHE81_RS15585,15.392088186030312,-2.4987117315276515,0.6205680072774449,-4.026491379228517,5.661531412997132e-05,0.0008015436587729,,,,,,,
BHE81_RS15595,5.884452592822197,-3.3964583169289027,1.0957309639437731,-3.0997192090878887,0.0019370418113087,0.0153550488166126,,,,,,,
BHE81_RS15610,5.129346730700462,-3.1651259929706903,1.114806366048935,-2.8391710788201183,0.0045230899682912,0.0301772142121871,,,,,,,
