Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BHE81_RS05205,1.7940483041169453,1.5413580990821623,1.6750451273324485,0.9201889990491263,0.35747400209051083,
BHE81_RS05210,1.7772138391002879,0.2032158339926915,1.5425695875393548,0.13173851969741815,0.8951911167125233,
BHE81_RS05215,66.43253920493667,1.487478963945855,0.4005963317562708,3.713161719241256,0.0002046859992500135,0.0024325921995374845
BHE81_RS28600,1.599494750661151,2.3592208097555694,2.2256088931335776,1.0600338707462076,0.2891291904720541,
BHE81_RS05220,29.207622996295637,1.0097565358982306,0.4881368688461116,2.068593053184358,0.03858429037179811,0.15484821483124458
BHE81_RS05225,27.022415644106996,0.28890952177610996,0.4405176569797172,0.6558409571069981,0.511926460754424,0.745165894430839
BHE81_RS05230,5.602415062411896,0.40816570670208374,0.9614548575265333,0.42452924701232747,0.6711798803323556,0.850971839597826
BHE81_RS05235,6.331041267118259,1.2622601022776876,1.188637086282138,1.061939019777542,0.2882633695809016,0.5587244871942423
BHE81_RS05240,5.527982893050002,-0.0033836833616345827,0.9963162342894913,-0.003396194145172801,0.9972902343352122,0.9987905307553698
BHE81_RS05245,1.8951076516556036,0.41520884336208186,1.4746283588215767,0.2815684649479335,0.778274423533708,
BHE81_RS05250,12.452116775954856,-0.6809623354823425,0.7693409210686113,-0.8851242886397993,0.3760896008607365,0.6492315982125398
BHE81_RS05255,9.454832772124513,0.19796021500935362,0.8473197959636228,0.23363105164351958,0.8152714190586514,0.9194532426913052
BHE81_RS05260,9.750784493222968,-1.3093972737493034,0.7312556244521199,-1.7906149778066263,0.07335510183262516,0.23953960884817765
BHE81_RS05265,28.779174579727155,-0.8904715065855529,0.44083721684741606,-2.01995537707463,0.04338801635292926,0.16626161761399502
BHE81_RS05270,0.9894632626048767,0.33810319017499213,2.377201407779673,0.14222740617118493,0.8869003848415524,
BHE81_RS05275,246.6376639269304,-3.811205506392388,0.3875611107165455,-9.833818205717314,8.050724062331497e-23,1.7876844641566624e-20
BHE81_RS05280,13.829461343258869,-1.2881376014894246,0.7095076468433938,-1.815537305651829,0.06944137834848063,0.23068753956869273
BHE81_RS05285,7.197723456628428,0.6730299742270066,0.9487643844477326,0.709375251916493,0.47809164122888537,0.7250441069747261
BHE81_RS05290,8.072438039316504,0.11614366533666787,0.8928550333021839,0.130081212520151,0.8965021740522042,0.9565362632282013
BHE81_RS05295,2.6868343098179888,-0.14020413249505423,1.2612074595413088,-0.11116658994868724,0.9114842447405348,
BHE81_RS05300,2.8731473565300227,1.2338053074989261,1.4639837570264869,0.8427725386823427,0.39935566918027543,
BHE81_RS05305,2.47345782133025,0.879533670414407,1.7370243915963461,0.5063450315778842,0.6126144556123726,
BHE81_RS05310,3.42858138977131,1.5914406925973497,1.2437770908096155,1.2795224356170032,0.20071314418662323,
BHE81_RS05315,0.36164725952549465,-3.0392710372322465,4.361154629283924,-0.6968959588876759,0.48586790695984183,
BHE81_RS05320,0.9447370028340006,0.2962672604151278,2.3333365782603526,0.12697150645793823,0.8989629505422735,
BHE81_RS05325,1.461513101735516,-4.598913634182359,2.875329748464893,-1.599438685819485,0.10972316220132079,
BHE81_RS05330,16.16243195964718,0.5576280039031226,0.5542825001009772,1.0060357377357863,0.3143983791685395,0.5861452769386073
BHE81_RS05335,12.765581165850984,1.6449748654758098,0.892388617077125,1.8433391394700436,0.06527950996929449,0.22050780829499878
BHE81_RS05340,13.336447271444683,-0.1625296520856505,0.7176457857736154,-0.22647614646053424,0.8208311096577342,0.9217662167912706
BHE81_RS05345,8.248782637828159,1.0554644303890555,0.7954894600156366,1.326811332444692,0.18457110079828998,0.43093828127724704
BHE81_RS05350,38.99556465953531,0.03277183586472977,0.4545967926397431,0.0720898967949839,0.942530366495908,0.9755975506001562
